psp_fld_l2_tds_wf	epoch	ns		epoch	Corrected UTC time of the start of the collected wave-form burst in TT2000		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Trigger_Threshold_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Trigger_Threshold_Engineering_mV	The current burst trigger threshold (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Trigger_Position	s		PSP_FLD_L2_TDS_WF_Trigger_Position	The desired time/location of the burst trigger after the start of the burst (s)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_Thrusting_Flag			PSP_FLD_L2_TDS_WF_SC_Thrusting_Flag	Indicates thrusting coming or happening now		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_TWTA_On_Flag			PSP_FLD_L2_TDS_WF_SC_TWTA_On_Flag	Indicates a spacecraft traveling wave-tube amplifier is on		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SCM_Cal_On_Flag			PSP_FLD_L2_TDS_WF_SCM_Cal_On_Flag	Indicates the internal calbration cycle of the SCM is on		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_DFB_Bursting_Flag			PSP_FLD_L2_TDS_WF_DFB_Bursting_Flag	Indicates the FIELDS DFB is producing a high-rate burst now		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Bursts_Suppressed_Flag			PSP_FLD_L2_TDS_WF_Bursts_Suppressed_Flag	Indicates the FIELDS burst suppression flag is on		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Down_Sampling_State			PSP_FLD_L2_TDS_WF_Down_Sampling_State	Indicates that TDS down-sampling is in use		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Sample_Speed	s^-1		PSP_FLD_L2_TDS_WF_Sample_Speed	Possibly down-sampled sample rate of the TDS (Samples/second)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Sample_Period	s		PSP_FLD_L2_TDS_WF_Sample_Period	Possibly down-sampled sample period of the TDS samples (seconds/sample)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Period	s		PSP_FLD_L2_TDS_WF_Burst_Period	Burst duration period of this TDS burst (seconds/burst)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Nyquist_Frequency	Hz		PSP_FLD_L2_TDS_WF_Nyquist_Frequency	Burst Nyquist frequency (Hz)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Frequency_Resolution	Hz		PSP_FLD_L2_TDS_WF_Frequency_Resolution	Burst frequency resolution and lowest frequency (Hz)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Low_Pass_Filters_Match_Flag			PSP_FLD_L2_TDS_WF_Low_Pass_Filters_Match_Flag	Flag indicates that all five analog channels have matching LPFs		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Low_Pass_Filter	Hz		PSP_FLD_L2_TDS_WF_Low_Pass_Filter	Low-Pass filter value in use for this burst (Hz)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_TM_Xmit_Sequence_Number			PSP_FLD_L2_TDS_WF_TM_Xmit_Sequence_Number	The sequence number this wave-form burst was sent from FIELDS2		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_DFB_Voltages_Valid_Flag			PSP_FLD_L2_TDS_WF_DFB_Voltages_Valid_Flag	Flag indicates that all V1234 antenna voltages from the DFB are are valid		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_DFB_Voltage_V1	V		PSP_FLD_L2_TDS_WF_DFB_Voltage_V1	The DFB DC voltage measurement from the V1 sensor (Volts)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_DFB_Voltage_V2	V		PSP_FLD_L2_TDS_WF_DFB_Voltage_V2	The DFB DC voltage measurement from the V2 sensor (Volts)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_DFB_Voltage_V3	V		PSP_FLD_L2_TDS_WF_DFB_Voltage_V3	The DFB DC voltage measurement from the V3 sensor (Volts)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_DFB_Voltage_V4	V		PSP_FLD_L2_TDS_WF_DFB_Voltage_V4	The DFB DC voltage measurement from the V4 sensor (Volts)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_Reaction_Wheel_Speeds_Valid_Flag			PSP_FLD_L2_TDS_WF_SC_Reaction_Wheel_Speeds_All_Valid_Flag	Flag indicates that all of the four reaction wheel speeds are valid		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_Reaction_Wheel_Speed_RW1	RPS		PSP_FLD_L2_TDS_WF_SC_Reaction_Wheel_Speed_RW1	Indicates the rotational speed of the 1st reaction wheel (revolutions per second)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_Reaction_Wheel_Speed_RW2	RPS		PSP_FLD_L2_TDS_WF_SC_Reaction_Wheel_Speed_RW2	Indicates the rotational speed of the 2nd reaction wheel (revolutions per second)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_Reaction_Wheel_Speed_RW3	RPS		PSP_FLD_L2_TDS_WF_SC_Reaction_Wheel_Speed_RW3	Indicates the rotational speed of the 3rd reaction wheel (revolutions per second)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_Reaction_Wheel_Speed_RW4	RPS		PSP_FLD_L2_TDS_WF_SC_Reaction_Wheel_Speed_RW4	Indicates the rotational speed of the 4th reaction wheel (revolutions per second)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Saturation_Flag			PSP_FLD_L2_TDS_WF_Burst_Saturation_Flag	Indicates that at least one analog channel had at least one sample saturated at the plus or minus limit		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V1_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V1_Engineering_mV	TDS wave-form burst time series peak for the high-gain V1 sensor (Ch1) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V2_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V2_Engineering_mV	TDS wave-form burst time series peak for the high-gain V2 sensor (Ch2) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V3_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V3_Engineering_mV	TDS wave-form burst time series peak for the high-gain V3 sensor (Ch3) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V4_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V4_Engineering_mV	TDS wave-form burst time series peak for the high-gain V4 sensor (Ch4) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V5_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V5_Engineering_mV	TDS wave-form burst time series peak for the high-gain V5 sensor (Ch5) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V1V2_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V1V2_Engineering_mV	TDS wave-form burst time series peak for the high-gain difference of V1-V2 (Ch3) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V3V4_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V3V4_Engineering_mV	TDS wave-form burst time series peak for the high-gain difference of V3-V4 (Ch1) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V1234_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V1234_Engineering_mV	TDS wave-form burst time series peak for the high-gain sum of V1+V2+V3+V4 (Ch2) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_SCM4_Engineering_nT	nT		PSP_FLD_L2_TDS_WF_Burst_Peak_SCM4_Engineering_nT	TDS wave-form burst time series peak for the high-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering nT)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_SCM5_Engineering_nT	nT		PSP_FLD_L2_TDS_WF_Burst_Peak_SCM5_Engineering_nT	TDS wave-form burst time series peak for the high-gain SCM MF sensor (Ch5) NOT corrected for frequency response (engineering nT)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_SCM4LG_Engineering_nT	nT		PSP_FLD_L2_TDS_WF_Burst_Peak_SCM4LG_Engineering_nT	TDS wave-form burst time series peak for the low-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering nT)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_SCM4_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_SCM4_Engineering_mV	TDS wave-form burst time series peak for the high-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_SCM5_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_SCM5_Engineering_mV	TDS wave-form burst time series peak for the high-gain SCM MF sensor (Ch5) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_SCM4LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_SCM4LG_Engineering_mV	TDS wave-form burst time series peak for the low-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V1LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V1LG_Engineering_mV	TDS wave-form burst time series peak for the low-gain V1 sensor (Ch3) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V2LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V2LG_Engineering_mV	TDS wave-form burst time series peak for the low-gain V2 sensor (Ch5) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V3LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V3LG_Engineering_mV	TDS wave-form burst time series peak for the low-gain V3 sensor (Ch1) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V4LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V4LG_Engineering_mV	TDS wave-form burst time series peak for the low-gain V4 sensor (Ch2) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Peak_V5LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Peak_V5LG_Engineering_mV	TDS wave-form burst time series peak for the low-gain V5 sensor (Ch4) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V1_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V1_Engineering_mV	TDS wave-form burst time series RMS for the high-gain V1 sensor (Ch1) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V2_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V2_Engineering_mV	TDS wave-form burst time series RMS for the high-gain V2 sensor (Ch2) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V3_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V3_Engineering_mV	TDS wave-form burst time series RMS for the high-gain V3 sensor (Ch3) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V4_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V4_Engineering_mV	TDS wave-form burst time series RMS for the high-gain V4 sensor (Ch4) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V5_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V5_Engineering_mV	TDS wave-form burst time series RMS for the high-gain V5 sensor (Ch5) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V1V2_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V1V2_Engineering_mV	TDS wave-form burst time series RMS for the high-gain difference of V1-V2 (Ch3) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V3V4_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V3V4_Engineering_mV	TDS wave-form burst time series RMS for the high-gain difference of V3-V4 (Ch1) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V1234_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V1234_Engineering_mV	TDS wave-form burst time series RMS for the high-gain sum of V1+V2+V3+V4 (Ch2) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_SCM4_Engineering_nT	nT		PSP_FLD_L2_TDS_WF_Burst_RMS_SCM4_Engineering_nT	TDS wave-form burst time series RMS for the high-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering nT)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_SCM5_Engineering_nT	nT		PSP_FLD_L2_TDS_WF_Burst_RMS_SCM5_Engineering_nT	TDS wave-form burst time series RMS for the high-gain SCM MF sensor (Ch5) NOT corrected for frequency response (engineering nT)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_SCM4LG_Engineering_nT	nT		PSP_FLD_L2_TDS_WF_Burst_RMS_SCM4LG_Engineering_nT	TDS wave-form burst time series RMS for the low-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering nT)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_SCM4_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_SCM4_Engineering_mV	TDS wave-form burst time series RMS for the high-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_SCM5_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_SCM5_Engineering_mV	TDS wave-form burst time series RMS for the high-gain SCM MF sensor (Ch5) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_SCM4LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_SCM4LG_Engineering_mV	TDS wave-form burst time series RMS for the low-gain SCM MF sensor (Ch4) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V1LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V1LG_Engineering_mV	TDS wave-form burst time series RMS for the low-gain V1 sensor (Ch3) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V2LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V2LG_Engineering_mV	TDS wave-form burst time series RMS for the low-gain V2 sensor (Ch5) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V3LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V3LG_Engineering_mV	TDS wave-form burst time series RMS for the low-gain V3 sensor (Ch1) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V4LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V4LG_Engineering_mV	TDS wave-form burst time series RMS for the low-gain V4 sensor (Ch2) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_RMS_V5LG_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_RMS_V5LG_Engineering_mV	TDS wave-form burst time series RMS for the low-gain V5 sensor (Ch4) NOT corrected for frequency response (engineering mV)		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_Solar_Distance_Known_Flag			PSP_FLD_L2_TDS_WF_SC_Solar_Distance_Known_Flag	Flag indicates that the S/C provided solar distance is known (0 means not known; 1 means known)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_Solar_Distance_Valid_Flag			PSP_FLD_L2_TDS_WF_SC_Solar_Distance_Valid_Flag	Flag indicates that the S/C provided solar distance is valid (0 means not valid; 1 means valid)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_Solar_Distance_Direction			PSP_FLD_L2_TDS_WF_SC_Solar_Distance_Direction	Flag indicates the S/C direction to/fron the sun (0 means falling; 1 means climbing)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_SC_Solar_Distance	km		PSP_FLD_L2_TDS_WF_SC_Solar_Distance	Value is the S/C provided distance to the sun at the time of this burst		data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_Times	s		PSP_FLD_L2_TDS_WF_Burst_Time_Series_Times	[NO PLOTS] Relative time for the time series samples - starting at zero and counting up (s)		support_data											
psp_fld_l2_tds_wf	PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1_Engineering_mV	mV		PSP_FLD_L2_TDS_WF_Burst_Time_Series_V1_Engineering_mV	[NO PLOTS] TDS wave-form burst time series for the high-gain V1 sensor (Ch1) NOT corrected for frequency response (engineering mV)		ignore_data											
